,hotel_name,app_name,category,permit_day,address,permit_date,keido,ido,year,age,count
3099,四季育む宿　然林房,"株式会社　然林房 
代表役員　中村　陽",旅館,S38.11.04,京都市伏見区深草薮之内町,1963-11-04 00:00:00,135.77411242,34.96613763,1963,1960,1
115,宿屋　西陣荘,"柏　ヤエ
　",旅館,S38.11.05,京都市上京区元誓願寺通油小路西入西町458,1963-11-05 00:00:00,135.75290517,35.02881203,1963,1960,1
416,京都教育文化センター,"一般財団法人　京都教育文化センター
代表理事　河口　洋",簡易宿所,S39.05.01,京都市左京区聖護院川原町4-13,1964-05-01 00:00:00,135.77550864,35.01820755,1964,1960,1
1842,ふじわら,"藤原　節子
　",旅館,S39.07.31,京都市下京区木屋町通仏光寺下る和泉屋町170-,1964-07-31 00:00:00,135.76912637,35.00010356,1964,1960,1
1843,京都タワーホテル,"京阪ホテルズ＆リゾーツ株式会社
代表取締役　稲地　利彦",ホテル,S39.09.05,京都市下京区烏丸通七条下る東塩小路町721-1,1964-09-05 00:00:00,135.75921674,34.98754338,1964,1960,1
1844,砺波詰所,"株式会社　砺波詰所
代表取締役　加藤　平次郎",簡易宿所,S39.09.11,京都市下京区不明門通万年寺下る高槻町361,1964-09-11 00:00:00,135.76058028,34.99316239,1964,1960,1
1184,八仙,"三星観光　株式会社
代表取締役社長　北脇　泰子",旅館,S39.10.15,京都市東山区高台寺南門通下河原東入桝屋町36,1964-10-15 00:00:00,135.78220561,34.9985593,1964,1960,1
417,株式会社　八千代,"株式会社　八千代
代表取締役　中西　義美",旅館,S39.12.22,京都市左京区南禅寺福地町25.34合地,1964-12-22 00:00:00,135.78964086,35.0107722,1964,1960,1
1185,中野,"有限会社　中野
代表取締役　中野　多美子",旅館,S40.12.23,京都市東山区祇園町南側570-8,1965-12-23 00:00:00,135.7754229,35.00207008,1965,1960,1
1186,智積院会館,"宗教法人　総本山　智積院
代表役員　芙蓉　良英",旅館,S42.02.01,京都市東山区塩小路通大和大路東入東瓦町964,1967-02-01 00:00:00,135.77623708,34.98732426,1967,1960,1
1187,富久家,"山田　笑子
　",旅館,S42.03.31,京都市東山区下河原通八坂鳥居前下る西入上弁,1967-03-31 00:00:00,135.77423409,35.00358939,1967,1960,1
1188,美竹,"城野　孝子
　",旅館,S42.05.17,京都市東山区下河原通八坂鳥居前下る下河原町４９９,1967-05-17 00:00:00,135.77886979,35.00171456,1967,1960,1
1845,旅館　ホテル佐野家,"株式会社　佐野家
代表取締役　佐野　喜一郎",旅館,S42.06.03,京都市下京区東洞院通七条下る二丁目東塩小路,1967-06-03 00:00:00,135.76203865,34.98774064,1967,1960,1
3100,三玉亭,"一色　和子
　",旅館,S42.06.16,京都市伏見区稲荷山官有地三ツ辻,1967-06-16 00:00:00,135.77885914,34.97003183,1967,1960,1
1189,井雪,"上田　和子
　",旅館,S42.09.02,京都市東山区八坂鳥居前東入円山町官有地,1967-09-02 00:00:00,135.78237499,35.00297833,1967,1960,1
418,野田家,"野田　清子
　",旅館,S42.09.18,京都市左京区大原戸寺町196,1967-09-18 00:00:00,135.82407518,35.10777583,1967,1960,1
1190,松春,"橋本　妙子
　",旅館,S42.10.21,京都市東山区下河原通八坂鳥居前下る下河原町,1967-10-21 00:00:00,135.78014746,35.00095629,1967,1960,1
3101,林亭,"有限会社　林亭
代表取締役　林　しげ子",旅館,S42.11.02,京都市伏見区深草開土口町12,1967-11-02 00:00:00,135.77614557,34.96959567,1967,1960,1
1846,花屋,"久保田　アイ子
　",旅館,S42.11.21,京都市下京区西木屋町通四条下る船頭町201,1967-11-21 00:00:00,135.77032894,35.00274501,1967,1960,1
2933,松山閣,"株式会社　松山閣
代表取締役　松山　吉之",旅館,S42.12.04,京都市右京区鳴滝宇多野谷20,1967-12-04 00:00:00,135.71251421,35.04542895,1967,1960,1
636,加茂川館,"株式会社　加茂川館
代表取締役　藪下　誠",旅館,S43.03.19,京都市中京区三条通河原町東入中島町１０４,1968-03-19 00:00:00,135.77092593,35.00916113,1968,1960,1
1191,きんなべ,"合資会社　きんなべ
代表社員　武内　幸雄",旅館,S43.05.27,京都市東山区大和大路通四条下る三丁目博多町,1968-05-27 00:00:00,135.77288149,35.00177844,1968,1960,1
1192,喜むら家,"木村　時子
　",旅館,S44.08.21,京都市東山区大和大路通四条下る四丁目小松町,1969-08-21 00:00:00,135.77220938,35.00029246,1969,1960,1
1847,田鶴,"株式会社　田鶴
代表取締役　田中　克典",旅館,S44.08.30,京都市下京区木屋町通松原上る美濃屋町179-1,1969-08-30 00:00:00,135.76881808,34.9994314,1969,1960,1
637,お宿　いしちょう,"株式会社　石長
代表取締役　石井　雅之",旅館,S44.09.02,京都市中京区土手町竹屋町東入末丸町284-3,1969-09-02 00:00:00,135.77027585,35.01569389,1969,1960,1
419,辻,"辻　京子
　",簡易宿所,S44.11.10,京都市左京区大原草生町45,1969-11-10 00:00:00,135.82268341,35.12290736,1969,1960,1
420,もみぢ茶屋,"畠中　菊江
　",簡易宿所,S44.11.12,京都市左京区大原来迎院町341,1969-11-12 00:00:00,135.82994945,35.11997992,1969,1960,1
421,古知平,"辻中　静子
　",簡易宿所,S44.11.12,京都市左京区大原古知平町60,1969-11-12 00:00:00,135.83359051,35.13637535,1969,1960,1
422,三千院道,"谷口　正治
　",簡易宿所,S44.12.23,京都市左京区大原大長瀬町287-1,1969-12-23 00:00:00,135.82654428,35.11516384,1969,1960,1
638,石長本館　松菊園,"株式会社　石長
代表取締役　石井　雅之",旅館,S44.12.27,京都市中京区土手町通竹屋町下る末丸町284-20,1969-12-27 00:00:00,135.77027307,35.0154578,1969,1960,1
3062,嵐山温泉彩四季の宿花筏,"株式会社　嵐山観光ホテル花筏
代表取締役　中西　眞",旅館,S45.03.04,京都市西京区嵐山中尾下町57-1,1970-03-04 00:00:00,135.67709763,35.01134647,1970,1970,1
2934,もみぢ家,"株式会社　もみぢ家
代表取締役　山本　信",旅館,S45.04.10,京都市右京区梅ケ畑西ノ畑町2,1970-04-10 00:00:00,135.67374675,35.05569364,1970,1970,1
639,ＮＩＳＨＩＹＡＭＡ　ＲＹＯＫＡＮ,"株式会社　ホテル西山
代表取締役　西山　武宏",旅館,S45.04.17,京都市中京区御幸町二条下る山本町433,1970-04-17 00:00:00,135.76624017,35.0131219,1970,1970,1
3063,京嵐山亭,"トヨタ販売連合健康保険組合
理事長　伊藤　隆之",旅館,S45.05.08,京都市西京区嵐山西一川町２－１,1970-05-08 00:00:00,135.68011136,35.01124372,1970,1970,1
1193,ニュー山里,"山田　康子
　",旅館,S45.05.11,京都市東山区東大路松原上る四丁目毘沙門町46,1970-05-11 00:00:00,135.77598399,35.00037023,1970,1970,1
640,株式会社　真砂,"株式会社　真砂
代表取締役　中村　正晴",旅館,S45.07.21,京都市中京区衣棚通三条下る了頓図子町475-4,1970-07-21 00:00:00,135.75732731,35.0076862,1970,1970,1
3102,旅館　ホテル　Ｄｉｏｎ,"東和産業　株式会社
代表取締役　加藤　勝己",旅館,S45.08.07,京都市伏見区羽束師菱川町390,1970-08-07 00:00:00,135.71526065,34.93342584,1970,1970,1
2935,民宿　嵐山,"小寺　忠
　",簡易宿所,S45.10.19,京都市右京区嵯峨北堀町38,1970-10-19 00:00:00,135.68331929,35.01544042,1970,1970,1
3103,ゆめや,"株式会社　銀泉
代表取締役　川北　将士",旅館,S45.11.18,京都市伏見区中島秋ノ山町１０７,1970-11-18 00:00:00,135.74493682,34.95215736,1970,1970,1
116,梨の木,"有限会社　山森商会
代表取締役　山森　都代子",旅館,S45.11.19,京都市上京区今出川通寺町西入２筋目上る,1970-11-19 00:00:00,135.7591074,35.02935088,1970,1970,1
423,山ばな　平八茶屋,"株式会社　平八茶屋
代表取締役　園部　晋吾",旅館,S45.12.16,京都市左京区山端川岸町8-1,1970-12-16 00:00:00,135.79082934,35.054187,1970,1970,1
1194,葉津家,"中野　千鶴子
　",旅館,S46.04.01,京都市東山区下河原通八坂鳥居前下る上弁天町,1971-04-01 00:00:00,135.77786433,35.00183677,1971,1970,1
1195,加茂川荘,"有限会社　奥川商事
代表取締役　奥川　雅生",旅館,S46.06.01,京都市東山区大和大路通三条下る新五軒町181,1971-06-01 00:00:00,135.77257859,35.0075335,1971,1970,1
424,はりま屋　旅館,"平田　弘子
　",旅館,S46.06.12,京都市左京区聖護院川原町11,1971-06-12 00:00:00,135.77483093,35.01810756,1971,1970,1
641,平新,"株式会社　平新
代表取締役　遠藤　俊雄",旅館,S46.10.06,京都市中京区蛸薬師通高倉西入泉正寺町314，316,1971-10-06 00:00:00,135.7618297,35.00598636,1971,1970,1
425,旅館　茶谷,"茶谷　のり子
　",旅館,S46.11.11,京都市左京区大原草生町160,1971-11-11 00:00:00,135.82634147,35.11883007,1971,1970,1
1848,豊栄,"豊永　昌子
　",旅館,S46.12.24,京都市下京区西新屋敷上之町124,1971-12-24 00:00:00,135.74484001,34.99245672,1971,1970,1
426,喜津祢,"井上　富久子
　",旅館,S47.02.22,京都市左京区大原上野町1,1972-02-22 00:00:00,135.82522503,35.1109088,1972,1970,1
1196,山志多,"山下　昌子
　",旅館,S47.04.12,京都市東山区祇園町南側501-3,1972-04-12 00:00:00,135.77872536,35.00216451,1972,1970,1
1197,八平,"有限会社　八平
代表取締役　斉藤　照",旅館,S47.05.18,京都市東山区下河原高台寺門前下河原町463-26,1972-05-18 00:00:00,135.7794031,35.00036746,1972,1970,1
427,小谷屋,"藤井　富江
　",旅館,S47.05.26,京都市左京区花脊別所町350,1972-05-26 00:00:00,135.78269808,35.17138812,1972,1970,1
1198,貝田,"貝田　孝江
　",旅館,S47.06.03,京都市東山区馬町通大和大路東三丁目妙法院前,1972-06-03 00:00:00,135.77694519999997,34.99220989,1972,1970,1
1199,吉今旅館,"株式会社　吉今
代表取締役　清水　建一",旅館,S47.11.07,京都市東山区新門前通大和大路東入西之町229-,1972-11-07 00:00:00,135.77399238,35.00621694,1972,1970,1
1200,石田旅館,"下田　恵美子
　",旅館,S47.11.09,京都市東山区祇園町南側570-164,1972-11-09 00:00:00,135.77584507,35.00253115,1972,1970,1
428,右源太,"株式会社　右源太
代表取締役　鳥居　宏行",旅館,S48.05.15,京都市左京区鞍馬貴船町76,1973-05-15 00:00:00,135.76374211,35.12398716,1973,1970,1
429,ひろや,"株式会社　ひろや
代表取締役　廣谷　和仁",旅館,S48.08.04,京都市左京区鞍馬貴船町56,1973-08-04 00:00:00,135.76340609,35.12239841,1973,1970,1
2936,公立学校共済組合　嵐山保養所　花のいえ ,"公立学校共済組合 
理事長　金森　越哉",旅館,S48.09.20,京都市右京区嵯峨天龍寺角倉町9,1973-09-20 00:00:00,135.68125002,35.014309999999995,1973,1970,1
642,松井別館　花かんざし,"株式会社　ホテル松井
代表取締役　松井　節子",旅館,S48.09.20,京都市中京区六角通高倉東入堀之上町１２６,1973-09-20 00:00:00,135.76273512,35.00748069,1973,1970,1
1201,わたなべ,"渡辺　明美
　",旅館,S48.12.19,京都市東山区下河原八坂鳥居前下る下河原町53,1973-12-19 00:00:00,135.78014746,35.00095629,1973,1970,1
117,四季育む宿　然林房,"株式会社　然林房 
　",旅館,S49.06.25,京都市上京区御前通今出川上る馬喰町885,1974-06-25 00:00:00,135.73619841,35.03014222,1974,1970,1
1849,飛騨詰所,"西村　太枝
　",簡易宿所,S49.06.25,京都市下京区正面通東洞院西入廿人講町21,1974-06-25 00:00:00,135.76068588,34.99150142,1974,1970,1
3104,旅館　からたち,"奥邨　靖子
　",旅館,S49.08.06,京都市伏見区深草一ノ坪町20-6,1974-08-06 00:00:00,135.769513,34.96888995,1974,1970,1
430,よしこ,"野田　ヤス
　",旅館,S49.08.26,京都市左京区大原戸寺町75,1974-08-26 00:00:00,135.82191984,35.10647877,1974,1970,1
1850,旅館　銀閣,"株式会社　銀閣
代表取締役　森　明子",旅館,S49.09.05,京都市下京区不明門通七条下る東塩小路町709,1974-09-05 00:00:00,135.76051378,34.98872109,1974,1970,1
1202,日昇館　尚心亭,"株式会社　日昇館
代表取締役　野村　一雄",旅館,S49.10.24,京都市東山区三条通大橋東入二町目57.62合地,1974-10-24 00:00:00,135.77472555,35.00956666,1974,1970,1
431,有限会社　寺谷,"有限会社　寺谷
代表取締役　橋詰　和男",旅館,S49.10.26,京都市左京区花脊原地町291,1974-10-26 00:00:00,135.78384291,35.23645591,1974,1970,1
643,旅館　陶月,"宮木　福子
　",旅館,S49.11.21,京都市中京区間之町通二条上る夷町584,1974-11-21 00:00:00,135.76139059,35.01462456,1974,1970,1
2937,民宿　井上,"井上　ふみゑ
　",簡易宿所,S50.03.06,京都市右京区嵯峨釈迦堂藤ノ木町1,1975-03-06 00:00:00,135.67582476,35.02535844,1975,1970,1
644,ホテルギンモンド,"株式会社ホテルギンモンド
代表取締役　小林　惠三",ホテル,S50.03.10,"京都市中京区高倉通り御池下ル亀甲屋町595,597,",1975-03-10 00:00:00,135.76221285,35.01048045,1975,1970,1
645,三賀,"株式会社　三賀
代表取締役　髙橋　妙子",旅館,S50.04.03,京都市中京区富小路通三条下る朝倉町526,1975-04-03 00:00:00,135.76518485,35.00831396,1975,1970,1
432,洛北若葉寮,"安念　悦子
　",簡易宿所,S50.05.24,京都市左京区下鴨西高木町37,1975-05-24 00:00:00,135.77519248,35.04327139,1975,1970,1
118,宣妙院,"宣妙院
代表役員　笹木　則栄",簡易宿所,S50.05.29,京都市上京区智恵光院通五辻上る紋屋町330,1975-05-29 00:00:00,135.74641127,35.03172561,1975,1970,1
2938,民宿　わらびの里,"長浜　宇三郎
　",簡易宿所,S50.07.12,京都市右京区北嵯峨六代芝町24-1,1975-07-12 00:00:00,135.68809894,35.02937201,1975,1970,1
433,大原念仏寺会館,"宗教法人　念仏寺
代表役員　大島　亮幸",簡易宿所,S50.07.16,京都市左京区大原来迎院町270,1975-07-16 00:00:00,135.83315751,35.11853286,1975,1970,1
434,宿坊　浄蓮華院,"多紀　穎信
　",簡易宿所,S50.08.26,京都市左京区大原来迎院町407,1975-08-26 00:00:00,135.83678219,35.11882169,1975,1970,1
435,民宿　三千院道,"谷口　正治
　",簡易宿所,S50.08.26,京都市左京区大原大長瀬町237,1975-08-26 00:00:00,135.82654428,35.11516384,1975,1970,1
1851,たき川旅館　別館,"有限会社　たき川旅館本館
代表取締役　滝川　敦之",旅館,S50.09.09,京都市下京区東洞院通花屋町下る富田町368-2,1975-09-09 00:00:00,135.76090526,34.99273743,1975,1970,1
1203,きよみず鈴木,"鈴木　きよの
　",旅館,S50.11.05,京都市東山区清水四丁目198,1975-11-05 00:00:00,135.77810886,34.99612896,1975,1970,1
3105,修証殿,"宗教法人　醍醐寺
代表役員　麻生　文雄",簡易宿所,S51.02.26,京都市伏見区醍醐伽藍町1,1976-02-26 00:00:00,135.82297911,34.95089337,1976,1970,1
1852,中島家,"芝田　民子
　",旅館,S51.04.01,京都市下京区高倉通仏光寺上る西前町,1976-04-01 00:00:00,135.76285474,35.00155062,1976,1970,1
436,聖護院　御殿荘,"株式会社　聖護院御殿荘
代表取締役　棚橋　洋子",旅館,S51.04.27,京都市左京区聖護院中町15,1976-04-27 00:00:00,135.78034702,35.01968244,1976,1970,1
1853,ひふみ旅館,"ひふみ　有限会社
代表取締役　籠　幸枝",旅館,S51.06.16,京都市下京区不明門通七条下る東塩小路町711,1976-06-16 00:00:00,135.76053879,34.98844333,1976,1970,1
1204,寿栄屋,"大石　みち恵
　",旅館,S51.06.16,京都市東山区下河原八坂鳥居前下る下河原町46,1976-06-16 00:00:00,135.78014746,35.00095629,1976,1970,1
119,レディスホテル西陣,"渡辺　ふじ子
　",簡易宿所,S51.07.19,京都市上京区寺之内通大宮東入妙蓮寺前町355,1976-07-19 00:00:00,135.74983874,35.03395318,1976,1970,1
1205,東山ユースホステル,"株式会社　塩浅ビル
代表取締役　浅井　裕久",簡易宿所,S51.07.26,京都市東山区三条通白川橋東入五軒町112,1976-07-26 00:00:00,135.78129161,35.00906671,1976,1970,1
120,玉峰院,"宗教法人　玉峰院
代表役員　矢放　眞文",簡易宿所,S51.08.24,京都市上京区智恵光院通五辻上る紋屋町330,1976-08-24 00:00:00,135.74641127,35.03172561,1976,1970,1
646,ホテルニュー金波樓,"株式会社　ホテルニュー金波楼
代表取締役　井上　義一",旅館,S51.09.16,京都市中京区柳馬場通錦小路下る瀬戸屋町467,1976-09-16 00:00:00,135.76424339,35.00450872,1976,1970,1
437,岡乃家,"岡野　志津子
　",簡易宿所,S51.10.15,京都市左京区上高野北田町9-8,1976-10-15 00:00:00,135.79416752,35.06647733,1976,1970,1
647,ｃｉｎｑ,"田中　良一
　",旅館,S51.10.19,京都市中京区御幸町三条下る海老屋町327,1976-10-19 00:00:00,135.76654862,35.00778346,1976,1970,1
